client_id,model,int_initial_score,int_score,int_confidence,int_review_decision,int_revision_count,int_score_rev1,int_score_rev2
C2742,gpt-5.1,88,88,90,APPROVE,0,,
C7630,gpt-5.1,88,88,94,APPROVE,0,,
C4799,gpt-5.1,62,62,78,APPROVE,0,,
C5211,gpt-5.1,88,88,93,APPROVE,0,,
C7693,gpt-5.1,88,88,92,APPROVE,0,,
C2174,gpt-5.1,82,82,88,APPROVE,0,,
C8245,gpt-5.1,88,88,93,APPROVE,0,,
C5727,gpt-5.1,10,10,88,APPROVE,0,,
C2646,gpt-5.1,88,88,93,APPROVE,0,,
C572,gpt-5.1,18,18,88,APPROVE,0,,
C4018,gpt-5.1,10,10,93,APPROVE,0,,
C4912,gpt-5.1,18,10,90,APPROVE,1,10,
C9143,gpt-5.1,10,10,88,APPROVE,0,,
C4591,gpt-5.1,12,12,88,APPROVE,0,,
C8136,gpt-5.1,18,22,90,REJECT,2,22,22
C2804,gpt-5.1,28,28,82,APPROVE,0,,
C8593,gpt-5.1,18,15,90,APPROVE,1,15,
C6641,gpt-5.1,32,32,78,APPROVE,0,,
C5757,gpt-5.1,38,38,72,APPROVE,0,,
C9262,gpt-5.1,28,28,78,APPROVE,0,,
C774,gpt-5.1,32,32,78,APPROVE,0,,
C459,gpt-5.1,32,32,78,APPROVE,0,,
C9261,gpt-5.1,32,32,78,APPROVE,0,,
C896,gpt-5.1,32,32,78,APPROVE,0,,
C5170,gpt-5.1,32,32,78,APPROVE,0,,
C6351,gpt-5.1,32,32,79,APPROVE,0,,
C8528,gpt-5.1,32,24,85,APPROVE,1,24,
C1075,gpt-5.1,25,30,85,APPROVE,1,30,
C7563,gpt-5.1,38,38,78,APPROVE,0,,
C9274,gpt-5.1,35,35,82,APPROVE,0,,
C4441,gpt-5.1,35,35,82,APPROVE,0,,
C4809,gpt-5.1,38,38,78,APPROVE,0,,
C5960,gpt-5.1,38,30,80,APPROVE,1,30,
C2733,gpt-5.1,38,38,80,APPROVE,0,,
C2682,gpt-5.1,32,32,78,APPROVE,0,,
C1922,gpt-5.1,38,38,78,APPROVE,0,,
C5080,gpt-5.1,38,38,82,APPROVE,0,,
C9451,gpt-5.1,38,38,74,APPROVE,0,,
C6626,gpt-5.1,32,32,82,APPROVE,0,,
C7720,gpt-5.1,48,48,77,APPROVE,0,,
C28,gpt-5.1,45,45,76,APPROVE,0,,
C2171,gpt-5.1,38,30,82,APPROVE,1,30,
C5452,gpt-5.1,45,45,78,APPROVE,0,,
C7906,gpt-5.1,42,35,80,APPROVE,1,35,
C9814,gpt-5.1,35,28,82,APPROVE,1,28,
C4979,gpt-5.1,45,30,82,APPROVE,1,30,
C2728,gpt-5.1,28,35,80,APPROVE,1,35,
C717,gpt-5.1,42,42,82,APPROVE,0,,
C8369,gpt-5.1,55,55,78,APPROVE,0,,
C6684,gpt-5.1,38,38,76,APPROVE,0,,
C2311,gpt-5.1,32,32,83,APPROVE,0,,
C410,gpt-5.1,38,38,76,APPROVE,0,,
C1591,gpt-5.1,38,38,76,APPROVE,0,,
C8478,gpt-5.1,32,32,76,APPROVE,0,,
C7498,gpt-5.1,28,28,78,APPROVE,0,,
C313,gpt-5.1,38,38,68,APPROVE,0,,
C9930,gpt-5.1,32,32,78,APPROVE,0,,
C8255,gpt-5.1,28,35,80,APPROVE,1,35,
C8072,gpt-5.1,38,38,72,APPROVE,0,,
C8660,gpt-5.1,38,38,72,APPROVE,0,,
C2587,gpt-5.1,28,35,80,APPROVE,1,35,
C8605,gpt-5.1,40,40,78,APPROVE,0,,
C9266,gpt-5.1,28,28,82,APPROVE,0,,
C5329,gpt-5.1,72,72,83,APPROVE,0,,
C9966,gpt-5.1,32,28,85,APPROVE,1,28,
C6004,gpt-5.1,78,78,86,APPROVE,0,,
C7022,gpt-5.1,85,85,88,APPROVE,0,,
C702,gpt-5.1,78,88,90,REJECT,2,88,88
C1924,gpt-5.1,72,72,78,APPROVE,0,,
C8039,gpt-5.1,74,74,82,APPROVE,0,,
C9771,gpt-5.1,88,88,93,APPROVE,0,,
C4437,gpt-5.1,82,82,90,APPROVE,0,,
C4155,gpt-5.1,78,88,90,APPROVE,1,88,
C7801,gpt-5.1,78,78,86,APPROVE,0,,
C8011,gpt-5.1,78,78,86,APPROVE,0,,
