client_id,group,trap_subtype,is_money_laundering,expected_risk_score,expected_risk_min,expected_risk_max,rationale
C7630,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C2742,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C4799,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C5211,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C2174,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C7693,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C8245,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C2646,control_guilty,,True,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.
C5727,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C4912,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C8136,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C572,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C4018,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C9143,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C4591,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C8593,control_innocent,,False,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.
C2804,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C6641,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C5757,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C9262,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C774,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C459,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
C9261,fp_trap,charity,False,low,0,30,"FALSE POSITIVE TRAP. High fan-in (many senders) mimics collection hub, but entity is a registered NGO receiving legitimate donations. Agent must find alibi in knowledge base and downgrade risk."
