client_id,int_score,int_confidence,int_review_decision,int_revision_count,hier_score,hier_confidence,hier_review_decision,hier_revision_count,score_delta,group,trap_subtype,is_money_laundering,expected_risk_score,expected_risk_min,expected_risk_max,rationale,group_label,int_in_range,int_abs_error,int_predicted_guilty,int_correct,int_consensus_reached,hier_in_range,hier_abs_error,hier_predicted_guilty,hier_correct,hier_consensus_reached
C8396,95.0,95.0,APPROVE,0,95.0,95.0,APPROVE,0,0.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,10.0,1,1,1,1,10.0,1,1,1
C4206,90.0,95.0,APPROVE,0,95.0,95.0,APPROVE,0,5.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,5.0,1,1,1,1,10.0,1,1,1
C7900,90.0,95.0,APPROVE,0,85.0,90.0,APPROVE,0,-5.0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,5.0,1,1,1,1,0.0,1,1,1
C2940,20.0,90.0,APPROVE,0,20.0,85.0,APPROVE,0,0.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,5.0,0,1,1,1,5.0,0,1,1
C8122,20.0,85.0,APPROVE,0,25.0,85.0,APPROVE,0,5.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,5.0,0,1,1,1,10.0,0,1,1
C6573,25.0,85.0,APPROVE,0,25.0,85.0,APPROVE,0,0.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,10.0,0,1,1,1,10.0,0,1,1
C9986,25.0,85.0,APPROVE,0,20.0,85.0,APPROVE,0,-5.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,10.0,0,1,1,1,5.0,0,1,1
C3641,20.0,85.0,APPROVE,0,20.0,90.0,APPROVE,0,0.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,5.0,0,1,1,1,5.0,0,1,1
C2683,20.0,85.0,APPROVE,0,0.0,85.0,REJECT,2,-20.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,5.0,0,1,1,1,15.0,0,1,0
C1970,20.0,90.0,APPROVE,0,25.0,75.0,REJECT,2,5.0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,5.0,0,1,1,1,10.0,0,1,0
