client_id,model,int_initial_score,int_score,int_confidence,int_review_decision,int_revision_count,int_score_rev1,int_score_rev2,hier_initial_score,hier_score,hier_confidence,hier_review_decision,hier_revision_count,hier_score_rev1,hier_score_rev2,ctx_initial_score,ctx_score,ctx_confidence,ctx_review_decision,ctx_revision_count,ctx_score_rev1,ctx_score_rev2,llm_initial_score,llm_score,llm_confidence,llm_review_decision,llm_revision_count,llm_score_rev1,llm_score_rev2,int_hier_delta,int_ctx_delta,int_llm_delta,hier_ctx_delta,hier_llm_delta,ctx_llm_delta,group,trap_subtype,is_money_laundering,expected_risk_score,expected_risk_min,expected_risk_max,rationale,group_label,int_in_range,int_abs_error,int_predicted_guilty,int_correct,int_consensus_reached,int_score_shift,hier_in_range,hier_abs_error,hier_predicted_guilty,hier_correct,hier_consensus_reached,hier_score_shift,ctx_in_range,ctx_abs_error,ctx_predicted_guilty,ctx_correct,ctx_consensus_reached,ctx_score_shift,llm_in_range,llm_abs_error,llm_predicted_guilty,llm_correct,llm_consensus_reached,llm_score_shift
C8396,gpt-5.1,88,88,86,APPROVE,0,,,92,92,94,APPROVE,0,,,92,92,95,APPROVE,0,,,92,92,95,APPROVE,0,,,4,4,4,0,0,0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,3.0,1,1,1,0,1,7.0,1,1,1,0,1,7.0,1,1,1,0,1,7.0,1,1,1,0
C4206,gpt-5.1,88,88,93,APPROVE,0,,,82,82,88,APPROVE,0,,,83,83,90,APPROVE,0,,,88,88,90,APPROVE,0,,,-6,-5,0,1,6,5,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,3.0,1,1,1,0,1,3.0,1,1,1,0,1,2.0,1,1,1,0,1,3.0,1,1,1,0
C7900,gpt-5.1,55,55,70,APPROVE,0,,,72,72,78,APPROVE,0,,,72,55,82,APPROVE,1,55.0,,68,45,80,APPROVE,1,45.0,,17,0,-10,-17,-27,-10,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,0,30.0,1,1,1,0,1,13.0,1,1,1,0,0,30.0,1,1,1,-17,0,40.0,0,0,1,-23
C3057,gpt-5.1,92,92,96,APPROVE,0,,,88,88,93,APPROVE,0,,,88,88,90,APPROVE,0,,,88,88,92,APPROVE,0,,,-4,-4,-4,0,0,0,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,7.0,1,1,1,0,1,3.0,1,1,1,0,1,3.0,1,1,1,0,1,3.0,1,1,1,0
C6081,gpt-5.1,86,65,82,APPROVE,1,65.0,,87,87,92,APPROVE,0,,,72,72,78,APPROVE,0,,,88,70,80,APPROVE,1,70.0,,22,7,5,-15,-17,-2,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,0,20.0,1,1,1,-21,1,2.0,1,1,1,0,1,13.0,1,1,1,0,1,15.0,1,1,1,-18
C5978,gpt-5.1,82,78,75,APPROVE,1,78.0,,78,78,86,APPROVE,0,,,86,86,92,APPROVE,0,,,72,72,86,APPROVE,0,,,0,8,-6,8,-6,-14,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,7.0,1,1,1,-4,1,7.0,1,1,1,0,1,1.0,1,1,1,0,1,13.0,1,1,1,0
C7518,gpt-5.1,88,88,90,APPROVE,0,,,84,84,88,APPROVE,0,,,86,86,90,APPROVE,0,,,87,87,92,APPROVE,0,,,-4,-2,-1,2,3,1,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,3.0,1,1,1,0,1,1.0,1,1,1,0,1,1.0,1,1,1,0,1,2.0,1,1,1,0
C4402,gpt-5.1,88,88,93,APPROVE,0,,,88,88,93,APPROVE,0,,,88,88,93,APPROVE,0,,,86,86,92,APPROVE,0,,,0,0,-2,0,-2,-2,control_guilty,,1,high,70,100,Confirmed laundering (isMoneyLaundering=1). Shell company entity with adverse media.,control_guilty,1,3.0,1,1,1,0,1,3.0,1,1,1,0,1,3.0,1,1,1,0,1,1.0,1,1,1,0
C2940,gpt-5.1,10,15,95,APPROVE,1,15.0,,10,15,80,APPROVE,1,15.0,,12,12,88,APPROVE,0,,,10,10,90,APPROVE,0,,,0,-3,-5,-3,-5,-2,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,0.0,0,1,1,5,1,0.0,0,1,1,5,1,3.0,0,1,1,0,1,5.0,0,1,1,0
C8122,gpt-5.1,18,12,90,APPROVE,1,12.0,,18,18,86,APPROVE,0,,,18,18,86,APPROVE,0,,,18,18,86,APPROVE,0,,,6,6,6,0,0,0,control_innocent,,0,low,0,30,No laundering flag. Low-volume individual with neutral/positive media only.,control_innocent,1,3.0,0,1,1,-6,1,3.0,0,1,1,0,1,3.0,0,1,1,0,1,3.0,0,1,1,0
