client_id,group_label,is_money_laundering,expected_risk_min,expected_risk_max,llm_initial_score,llm_score,llm_score_shift,llm_confidence,llm_review_decision,llm_revision_count,llm_in_range,llm_abs_error,llm_predicted_guilty,llm_correct,llm_consensus_reached
C8396,control_guilty,1,70,100,92,92,0,95,APPROVE,0,1,7.0,1,1,1
C4206,control_guilty,1,70,100,88,88,0,90,APPROVE,0,1,3.0,1,1,1
C7900,control_guilty,1,70,100,68,45,-23,80,APPROVE,1,0,40.0,0,0,1
C3057,control_guilty,1,70,100,88,88,0,92,APPROVE,0,1,3.0,1,1,1
C6081,control_guilty,1,70,100,88,70,-18,80,APPROVE,1,1,15.0,1,1,1
C5978,control_guilty,1,70,100,72,72,0,86,APPROVE,0,1,13.0,1,1,1
C7518,control_guilty,1,70,100,87,87,0,92,APPROVE,0,1,2.0,1,1,1
C4402,control_guilty,1,70,100,86,86,0,92,APPROVE,0,1,1.0,1,1,1
C2940,control_innocent,0,0,30,10,10,0,90,APPROVE,0,1,5.0,0,1,1
C8122,control_innocent,0,0,30,18,18,0,86,APPROVE,0,1,3.0,0,1,1
C6573,control_innocent,0,0,30,18,18,0,88,APPROVE,0,1,3.0,0,1,1
C9986,control_innocent,0,0,30,18,18,0,86,APPROVE,0,1,3.0,0,1,1
C3641,control_innocent,0,0,30,10,10,0,92,APPROVE,0,1,5.0,0,1,1
C2683,control_innocent,0,0,30,10,10,0,90,APPROVE,0,1,5.0,0,1,1
C1970,control_innocent,0,0,30,18,18,0,86,APPROVE,0,1,3.0,0,1,1
C8882,control_innocent,0,0,30,12,12,0,84,APPROVE,0,1,3.0,0,1,1
C4562,fp_trap:charity,0,0,30,32,20,-12,88,APPROVE,1,1,5.0,0,1,1
C1965,fp_trap:charity,0,0,30,28,25,-3,82,APPROVE,0,1,10.0,0,1,1
C9238,fp_trap:charity,0,0,30,38,28,-10,80,APPROVE,1,1,13.0,0,1,1
C809,fp_trap:charity,0,0,30,32,20,-12,88,APPROVE,1,1,5.0,0,1,1
C5765,fp_trap:charity,0,0,30,28,25,-3,83,APPROVE,0,1,10.0,0,1,1
C8825,fp_trap:payroll,0,0,30,42,24,-18,88,APPROVE,1,1,9.0,0,1,1
C2083,fp_trap:payroll,0,0,30,42,25,-17,85,APPROVE,1,1,10.0,0,1,1
C2645,fp_trap:payroll,0,0,30,38,20,-18,88,APPROVE,1,1,5.0,0,1,1
C2729,fp_trap:payroll,0,0,30,35,20,-15,90,APPROVE,1,1,5.0,0,1,1
C4195,fp_trap:payroll,0,0,30,48,25,-23,85,APPROVE,1,1,10.0,0,1,1
C6250,fp_trap:high_roller,0,0,30,42,28,-14,82,APPROVE,1,1,13.0,0,1,1
C2576,fp_trap:high_roller,0,0,30,45,25,-20,82,APPROVE,1,1,10.0,0,1,1
C7266,fp_trap:high_roller,0,0,30,55,25,-30,80,APPROVE,1,1,10.0,0,1,1
C2386,fp_trap:high_roller,0,0,30,38,22,-16,85,APPROVE,1,1,7.0,0,1,1
C3891,fp_trap:high_roller,0,0,30,42,25,-17,85,APPROVE,1,1,10.0,0,1,1
C6151,fp_trap:structurer,0,0,30,38,25,-13,85,APPROVE,1,1,10.0,0,1,1
C1941,fp_trap:structurer,0,0,30,32,20,-12,85,APPROVE,1,1,5.0,0,1,1
C3408,fp_trap:structurer,0,0,30,32,20,-12,85,APPROVE,1,1,5.0,0,1,1
C4235,fp_trap:structurer,0,0,30,38,22,-16,85,APPROVE,1,1,7.0,0,1,1
C6200,fp_trap:structurer,0,0,30,32,20,-12,88,APPROVE,1,1,5.0,0,1,1
C5843,fn_trap:sleeper,1,70,100,88,88,0,86,APPROVE,0,1,3.0,1,1,1
C904,fn_trap:sleeper,1,70,100,78,80,2,87,APPROVE,0,1,5.0,1,1,1
C3553,fn_trap:sleeper,1,70,100,82,82,0,88,APPROVE,0,1,3.0,1,1,1
C1375,fn_trap:sleeper,1,70,100,78,78,0,86,APPROVE,0,1,7.0,1,1,1
C8079,fn_trap:sleeper,1,70,100,71,75,4,78,APPROVE,0,1,10.0,1,1,1
C4169,fn_trap:sleeper,1,70,100,78,78,0,83,APPROVE,0,1,7.0,1,1,1
C5181,fn_trap:sleeper,1,70,100,78,78,0,88,APPROVE,0,1,7.0,1,1,1
C6018,fn_trap:smurf,1,70,100,64,30,-34,80,APPROVE,2,0,55.0,0,0,1
C5350,fn_trap:smurf,1,70,100,69,80,11,80,APPROVE,1,1,5.0,1,1,1
C4080,fn_trap:smurf,1,70,100,48,62,14,78,APPROVE,1,0,23.0,1,1,1
C430,fn_trap:smurf,1,70,100,39,28,-11,78,APPROVE,1,0,57.0,0,0,1
C1324,fn_trap:smurf,1,70,100,55,60,5,72,APPROVE,0,0,25.0,1,1,1
C9895,fn_trap:smurf,1,70,100,47,60,13,72,APPROVE,1,0,25.0,1,1,1
C3052,fn_trap:smurf,1,70,100,72,80,8,86,APPROVE,0,1,5.0,1,1,1
