client_id,model,int_initial_score,int_score,int_confidence,int_review_decision,int_revision_count,int_score_rev1,int_score_rev2
C4799,gpt-4o-mini,85,95,90,APPROVE,1,95,
C7630,gpt-4o-mini,90,90,85,REJECT,2,95,90
C2742,gpt-4o-mini,85,95,90,REJECT,2,90,95
C5211,gpt-4o-mini,90,70,75,REJECT,2,80,70
C2174,gpt-4o-mini,85,70,80,REJECT,2,75,70
C7693,gpt-4o-mini,80,70,75,REJECT,2,75,70
C5727,gpt-4o-mini,25,25,80,APPROVE,0,,
C8245,gpt-4o-mini,90,65,75,REJECT,2,70,65
C2646,gpt-4o-mini,75,90,85,REJECT,2,85,90
C572,gpt-4o-mini,20,20,85,APPROVE,0,,
C8136,gpt-4o-mini,25,25,85,APPROVE,0,,
C4912,gpt-4o-mini,25,30,75,REJECT,2,30,30
C9143,gpt-4o-mini,10,40,80,APPROVE,1,40,
C4018,gpt-4o-mini,20,50,70,REJECT,2,40,50
C4591,gpt-4o-mini,20,20,90,APPROVE,0,,
C8593,gpt-4o-mini,20,20,90,APPROVE,0,,
C2804,gpt-4o-mini,40,55,90,APPROVE,1,55,
C6641,gpt-4o-mini,31,45,70,APPROVE,1,45,
C5757,gpt-4o-mini,31,80,85,REJECT,2,70,80
C774,gpt-4o-mini,31,50,85,APPROVE,1,50,
C9262,gpt-4o-mini,31,50,75,REJECT,2,40,50
C459,gpt-4o-mini,40,70,75,REJECT,2,60,70
C9261,gpt-4o-mini,35,45,85,APPROVE,1,45,
C896,gpt-4o-mini,31,100,90,REJECT,2,70,100
C5170,gpt-4o-mini,40,80,70,REJECT,2,70,80
C8528,gpt-4o-mini,40,70,85,REJECT,2,60,70
C1075,gpt-4o-mini,31,65,70,REJECT,2,55,65
C6351,gpt-4o-mini,48,70,85,REJECT,2,60,70
C7563,gpt-4o-mini,50,50,75,REJECT,2,70,50
C9274,gpt-4o-mini,42,60,85,APPROVE,1,60,
C4441,gpt-4o-mini,57,70,80,APPROVE,1,70,
C5960,gpt-4o-mini,54,80,75,REJECT,2,76,80
C4809,gpt-4o-mini,50,70,80,APPROVE,1,70,
C1922,gpt-4o-mini,55,70,80,APPROVE,1,70,
C2733,gpt-4o-mini,31,50,75,REJECT,2,60,50
C2682,gpt-4o-mini,47,80,80,REJECT,2,70,80
C6626,gpt-4o-mini,55,65,85,APPROVE,1,65,
C5080,gpt-4o-mini,52,75,80,REJECT,2,69,75
C2171,gpt-4o-mini,70,50,80,APPROVE,1,50,
C9451,gpt-4o-mini,45,70,85,REJECT,2,65,70
C7720,gpt-4o-mini,45,70,85,APPROVE,2,60,70
C28,gpt-4o-mini,55,70,80,REJECT,2,65,70
C5452,gpt-4o-mini,45,70,75,APPROVE,1,70,
C7906,gpt-4o-mini,69,78,85,REJECT,2,72,78
C9814,gpt-4o-mini,62,55,75,APPROVE,1,55,
C4979,gpt-4o-mini,45,70,80,REJECT,2,65,70
C2728,gpt-4o-mini,63,63,80,REJECT,2,59,63
C8369,gpt-4o-mini,64,70,80,APPROVE,1,70,
C717,gpt-4o-mini,53,58,80,REJECT,2,62,58
C6684,gpt-4o-mini,50,80,75,REJECT,2,70,80
C2311,gpt-4o-mini,30,50,80,APPROVE,1,50,
C8255,gpt-4o-mini,30,40,75,APPROVE,1,40,
C410,gpt-4o-mini,31,70,90,APPROVE,1,70,
C1591,gpt-4o-mini,50,85,70,REJECT,2,70,85
C7498,gpt-4o-mini,41,65,70,REJECT,2,55,65
C8478,gpt-4o-mini,45,70,75,REJECT,2,65,70
C313,gpt-4o-mini,50,70,75,APPROVE,1,70,
C9930,gpt-4o-mini,31,70,80,APPROVE,1,70,
C8660,gpt-4o-mini,31,55,80,APPROVE,1,55,
C2587,gpt-4o-mini,45,75,70,REJECT,2,65,75
C8072,gpt-4o-mini,31,65,80,REJECT,2,55,65
C8605,gpt-4o-mini,61,85,90,APPROVE,2,75,85
C9966,gpt-4o-mini,52,65,80,APPROVE,1,65,
C9266,gpt-4o-mini,45,50,80,REJECT,2,60,50
C702,gpt-4o-mini,85,70,80,REJECT,2,75,70
C5329,gpt-4o-mini,85,50,80,REJECT,2,65,50
C6004,gpt-4o-mini,75,65,75,APPROVE,1,65,
C7022,gpt-4o-mini,85,70,80,REJECT,2,75,70
C1924,gpt-4o-mini,31,50,80,APPROVE,1,50,
C4155,gpt-4o-mini,70,50,80,APPROVE,1,50,
C8039,gpt-4o-mini,85,70,80,REJECT,2,75,70
C9771,gpt-4o-mini,85,50,75,REJECT,2,70,50
C4437,gpt-4o-mini,85,75,80,REJECT,2,70,75
C7801,gpt-4o-mini,85,60,70,REJECT,2,65,60
C2991,gpt-4o-mini,65,50,75,APPROVE,1,50,
C4813,gpt-4o-mini,65,75,85,APPROVE,1,75,
C8011,gpt-4o-mini,85,70,75,REJECT,2,75,70
C8319,gpt-4o-mini,75,70,75,REJECT,2,65,70
C8988,gpt-4o-mini,75,65,75,REJECT,2,70,65
C9915,gpt-4o-mini,65,35,80,REJECT,2,45,35
C8085,gpt-4o-mini,70,85,90,APPROVE,1,85,
C9348,gpt-4o-mini,68,40,75,APPROVE,1,40,
C7477,gpt-4o-mini,70,45,75,REJECT,2,50,45
C3437,gpt-4o-mini,80,60,85,APPROVE,1,60,
C691,gpt-4o-mini,75,65,80,APPROVE,1,65,
C7375,gpt-4o-mini,70,95,90,REJECT,2,90,95
