client_id,model,int_initial_score,int_score,int_confidence,int_review_decision,int_revision_count,int_score_rev1,int_score_rev2
C7630,gpt-5.1,92,92,95,APPROVE,0,,
C2742,gpt-5.1,85,75,88,APPROVE,1,75,
C4799,gpt-5.1,55,55,76,APPROVE,0,,
C5211,gpt-5.1,88,88,93,APPROVE,0,,
C2174,gpt-5.1,81,65,82,APPROVE,1,65,
C7693,gpt-5.1,82,70,78,APPROVE,1,70,
C8245,gpt-5.1,82,82,88,APPROVE,0,,
C2646,gpt-5.1,82,82,88,APPROVE,0,,
C5727,gpt-5.1,12,12,90,APPROVE,0,,
C4912,gpt-5.1,18,12,90,APPROVE,1,12,
C8136,gpt-5.1,18,18,87,APPROVE,0,,
C572,gpt-5.1,15,15,86,APPROVE,0,,
C4018,gpt-5.1,12,12,92,APPROVE,0,,
C9143,gpt-5.1,10,10,93,APPROVE,0,,
C4591,gpt-5.1,18,10,92,REJECT,2,10,10
C8593,gpt-5.1,18,12,92,APPROVE,1,12,
C2804,gpt-5.1,32,32,86,APPROVE,0,,
C6641,gpt-5.1,32,32,76,APPROVE,0,,
C5757,gpt-5.1,38,38,72,APPROVE,0,,
C9262,gpt-5.1,28,28,87,APPROVE,0,,
C774,gpt-5.1,32,32,78,APPROVE,0,,
C459,gpt-5.1,20,22,86,APPROVE,0,,
C9261,gpt-5.1,28,28,86,APPROVE,0,,
C896,gpt-5.1,20,15,85,APPROVE,1,15,
C5170,gpt-5.1,32,32,78,APPROVE,0,,
C8528,gpt-5.1,28,28,78,APPROVE,0,,
C1075,gpt-5.1,28,28,83,APPROVE,0,,
C6351,gpt-5.1,30,30,82,APPROVE,0,,
C7563,gpt-5.1,38,30,78,APPROVE,1,30,
C5960,gpt-5.1,38,38,76,APPROVE,0,,
C9274,gpt-5.1,32,32,86,APPROVE,0,,
C4441,gpt-5.1,32,32,86,APPROVE,0,,
C4809,gpt-5.1,38,38,78,APPROVE,0,,
C2733,gpt-5.1,38,38,78,APPROVE,0,,
C1922,gpt-5.1,32,32,78,APPROVE,0,,
C2682,gpt-5.1,32,32,80,APPROVE,0,,
C5080,gpt-5.1,38,38,78,APPROVE,0,,
C6626,gpt-5.1,38,38,78,APPROVE,0,,
C9451,gpt-5.1,38,38,71,APPROVE,0,,
C2171,gpt-5.1,40,40,82,APPROVE,0,,
C7720,gpt-5.1,52,52,78,APPROVE,0,,
C28,gpt-5.1,38,38,78,APPROVE,0,,
C7906,gpt-5.1,45,45,74,APPROVE,0,,
C5452,gpt-5.1,38,32,82,APPROVE,1,32,
C9814,gpt-5.1,38,38,78,APPROVE,0,,
C4979,gpt-5.1,38,38,78,APPROVE,0,,
C2728,gpt-5.1,28,28,82,APPROVE,0,,
C717,gpt-5.1,38,30,80,APPROVE,1,30,
C8369,gpt-5.1,48,48,76,APPROVE,0,,
C6684,gpt-5.1,48,48,78,APPROVE,0,,
C2311,gpt-5.1,28,28,86,APPROVE,0,,
C8255,gpt-5.1,28,28,86,APPROVE,0,,
C410,gpt-5.1,38,38,74,APPROVE,0,,
C1591,gpt-5.1,32,32,78,APPROVE,0,,
C7498,gpt-5.1,35,35,80,APPROVE,0,,
C8478,gpt-5.1,38,28,85,APPROVE,1,28,
C313,gpt-5.1,32,32,82,APPROVE,0,,
C9930,gpt-5.1,38,38,74,APPROVE,0,,
C8660,gpt-5.1,32,32,78,APPROVE,0,,
C2587,gpt-5.1,28,28,83,APPROVE,0,,
C8072,gpt-5.1,28,35,80,APPROVE,1,35,
C8605,gpt-5.1,38,38,77,APPROVE,0,,
C9966,gpt-5.1,32,32,74,APPROVE,0,,
C9266,gpt-5.1,28,28,86,APPROVE,0,,
C702,gpt-5.1,78,78,86,APPROVE,0,,
C5329,gpt-5.1,82,82,88,APPROVE,0,,
C7022,gpt-5.1,78,78,88,APPROVE,0,,
C6004,gpt-5.1,78,78,88,APPROVE,0,,
C1924,gpt-5.1,61,61,73,APPROVE,0,,
C8039,gpt-5.1,62,62,78,APPROVE,0,,
C4155,gpt-5.1,78,78,86,APPROVE,0,,
C9771,gpt-5.1,92,92,94,APPROVE,0,,
C4437,gpt-5.1,78,78,88,APPROVE,0,,
C7801,gpt-5.1,82,82,78,APPROVE,0,,
C8011,gpt-5.1,78,78,86,APPROVE,0,,
C2991,gpt-5.1,48,48,76,APPROVE,0,,
C4813,gpt-5.1,55,55,72,APPROVE,0,,
C8319,gpt-5.1,42,42,66,APPROVE,0,,
C9915,gpt-5.1,38,30,75,APPROVE,1,30,
C8988,gpt-5.1,68,68,77,APPROVE,0,,
C7477,gpt-5.1,52,52,78,APPROVE,0,,
C8085,gpt-5.1,78,78,88,APPROVE,0,,
C9348,gpt-5.1,48,35,80,APPROVE,1,35,
C691,gpt-5.1,38,38,76,APPROVE,0,,
C3437,gpt-5.1,78,78,86,APPROVE,0,,
C7375,gpt-5.1,82,82,91,APPROVE,0,,
